ts_event_et,trade_count,total_volume,avg_trade_size,price_range,buy_sell_ratio,realized_vol
2025-05-01 00:00:00-04:00,367673,1023079,2.782578541258129,106.5,0.9876435977552892,0.000457995501158826
2025-05-02 00:00:00-04:00,347577,1003812,2.8880276888286622,111.5,0.9741736024795858,0.0006799208812342459
2025-05-05 00:00:00-04:00,256893,763398,2.9716574604991184,81.75,0.976916065009996,0.0004775080222369074
2025-05-06 00:00:00-04:00,333271,1011815,3.0360127343813295,101.75,1.016162135450292,0.0006341264071192266
2025-05-07 00:00:00-04:00,420306,1088874,2.590669654965668,104.0,1.000793795167772,0.000635247532071457
2025-05-08 00:00:00-04:00,376491,1076313,2.8588014056112896,126.0,0.9648205888366387,0.0005681994645929205
2025-05-09 00:00:00-04:00,279985,777382,2.7765130274836154,139.5,0.9948830859559442,0.000391474804771588
2025-05-12 00:00:00-04:00,390391,1181603,3.0267168044345283,112.25,0.9824289726493949,0.0014638720002687138
2025-05-13 00:00:00-04:00,318782,1021147,3.2032768475008,151.5,1.0020802167660374,0.0002815906296119555
2025-05-14 00:00:00-04:00,324183,923489,2.8486657227553573,122.5,1.0000151600139473,0.00034360956973431234
2025-05-15 00:00:00-04:00,330096,993866,3.0108392709999516,104.0,1.0270445010534301,0.0003512058494504681
2025-05-16 00:00:00-04:00,271794,864772,3.181718507398986,100.25,1.0286050074010824,0.0002424427361486564
2025-05-19 00:00:00-04:00,274662,923056,3.360697875934785,129.0,1.03526999316473,0.0005347693039229139
2025-05-20 00:00:00-04:00,292120,874479,2.993560865397782,138.25,1.0227118173617376,0.0002969804363193992
2025-05-21 00:00:00-04:00,461291,1238178,2.684158156131379,157.5,0.9894308603453207,0.0005750432624056299
2025-05-22 00:00:00-04:00,377276,1075765,2.8514005661637634,129.0,1.0320687427511457,0.0003953710018556496
2025-05-23 00:00:00-04:00,389522,1076723,2.764216141835378,131.5,1.0316639967092538,0.0009772594167709683
2025-05-27 00:00:00-04:00,265981,869061,3.2673800008271265,156.0,1.0167758913570162,0.0006502216973826445
2025-05-28 00:00:00-04:00,311331,922337,2.9625607472432876,108.25,1.0035908085727567,0.0002573005135907886
2025-05-29 00:00:00-04:00,375820,1009070,2.6849821723165346,116.5,1.0240502266618525,0.0005780746391969237
2025-05-30 00:00:00-04:00,436036,1261930,2.8940959003385043,162.5,0.9846846818509234,0.0004639990140505756
2025-06-02 00:00:00-04:00,327487,914935,2.7938055556403767,130.25,1.0082376517534368,0.00035050964046934134
2025-06-03 00:00:00-04:00,273557,903959,3.3044630552316336,105.75,1.0007990278862946,0.00023875024616859167
2025-06-04 00:00:00-04:00,284749,853511,2.9974152674811854,119.75,0.9847569837663621,0.0006841669508364068
2025-06-05 00:00:00-04:00,482621,1287571,2.6678718911941255,169.25,1.0054467265905236,0.0008280971888625229
2025-06-06 00:00:00-04:00,335998,983831,2.92808588146358,135.25,1.013567307475834,0.0008169745890116127
2025-06-09 00:00:00-04:00,213722,687532,3.216945377640112,121.25,0.9983316523907654,0.0012969877168715485
2025-06-10 00:00:00-04:00,266077,800246,3.007572995786934,147.0,1.040725458894573,0.0009394301777208139
2025-06-11 00:00:00-04:00,397752,1198383,3.0128899414710673,155.0,1.004159224547954,0.002631348087567742
2025-06-12 00:00:00-04:00,308399,929565,3.0141634700501623,147.0,1.0165587049804108,0.004747920696820979
2025-06-13 00:00:00-04:00,514537,1240612,2.411123009618356,166.75,0.9921669383134348,0.005500467245786321
2025-06-16 00:00:00-04:00,370874,1015533,2.7382156743260513,196.5,1.0050999555753,0.006346048936887445
2025-06-17 00:00:00-04:00,378125,1084549,2.8682287603305787,148.25,0.9721511023181048,0.005185054766314647
2025-06-18 00:00:00-04:00,393230,1061645,2.6998067288864025,150.5,0.9915303519171607,0.004866726469047697
2025-06-19 00:00:00-04:00,51784,121454,2.3453962613934807,124.0,1.0186819579489736,0.00411941667452632
2025-06-20 00:00:00-04:00,345447,1025844,2.969613283658564,111.25,0.9988581783463071,0.0007625658262912236
2025-06-23 00:00:00-04:00,348745,1057557,3.032464981576797,125.0,1.0384754760041481,0.00034466302563744967
2025-06-24 00:00:00-04:00,213382,726668,3.405479375017574,91.0,1.0094406667643732,0.00038130654550785204
2025-06-25 00:00:00-04:00,207753,711440,3.4244511511265783,65.75,1.0286863041432603,0.00021368249707501727
2025-06-26 00:00:00-04:00,224264,790919,3.5267318874184,85.75,1.036194423705687,0.00022433833607791792
2025-06-27 00:00:00-04:00,314398,1062037,3.378001768459087,96.25,0.9822851106084022,0.0002624805899041626
